sport,source_combo,source,market_type,n,wins,losses,pushes,win_rate,units,roi,avg_odds,confidence_bucket
NBA,betql,betql,spread,4,2,2,0,0.5,-0.14,-0.035,-3.0,very_low
NBA,betql|bettingpros_props,betql,player_prop,4,1,2,1,0.25,-1.12,-0.279,-6.2,very_low
NBA,betql|bettingpros_props,betql|bettingpros_props,player_prop,4,1,2,1,0.25,-1.12,-0.279,-6.2,very_low
NBA,betql|bettingpros_props,bettingpros_props,player_prop,4,1,2,1,0.25,-1.12,-0.279,-6.2,very_low
NBA,betql|covers,betql,player_prop,9,6,3,0,0.6667,2.81,0.3118,-16.0,very_low
NBA,betql|covers,betql|covers,player_prop,9,6,3,0,0.6667,2.81,0.3118,-16.0,very_low
NBA,betql|covers,covers,player_prop,9,6,3,0,0.6667,2.81,0.3118,-16.0,very_low
NBA,betql|covers|oddstrader,betql,player_prop,2,0,2,0,0.0,-2.08,-1.04,-9.0,very_low
NBA,betql|covers|oddstrader,betql|covers|oddstrader,player_prop,2,0,2,0,0.0,-2.08,-1.04,-9.0,very_low
NBA,betql|covers|oddstrader,covers,player_prop,2,0,2,0,0.0,-2.08,-1.04,-9.0,very_low
NBA,betql|covers|oddstrader,oddstrader,player_prop,2,0,2,0,0.0,-2.08,-1.04,-9.0,very_low
NBA,betql|dimers,betql,spread,2,0,2,0,0.0,-2.66,-1.33,66.0,very_low
NBA,betql|dimers,betql|dimers,spread,2,0,2,0,0.0,-2.66,-1.33,66.0,very_low
NBA,betql|dimers,dimers,spread,2,0,2,0,0.0,-2.66,-1.33,66.0,very_low
NBA,betql|oddstrader,betql,player_prop,15,10,5,0,0.6667,4.19,0.279,-73.2,very_low
NBA,betql|oddstrader,betql,spread,3,2,1,0,0.6667,0.95,0.3173,-103.3,very_low
NBA,betql|oddstrader,betql|oddstrader,player_prop,15,10,5,0,0.6667,4.19,0.279,-73.2,very_low
NBA,betql|oddstrader,betql|oddstrader,spread,3,2,1,0,0.6667,0.95,0.3173,-103.3,very_low
NBA,betql|oddstrader,oddstrader,player_prop,15,10,5,0,0.6667,4.19,0.279,-73.2,very_low
NBA,betql|oddstrader,oddstrader,spread,3,2,1,0,0.6667,0.95,0.3173,-103.3,very_low
NBA,betql|sportsline,betql,player_prop,1,1,0,0,1.0,1.09,1.092,120.0,very_low
NBA,betql|sportsline,betql,total,1,0,1,0,0.0,-1.07,-1.07,-114.0,very_low
NBA,betql|sportsline,betql|sportsline,player_prop,1,1,0,0,1.0,1.09,1.092,120.0,very_low
NBA,betql|sportsline,betql|sportsline,total,1,0,1,0,0.0,-1.07,-1.07,-114.0,very_low
NBA,betql|sportsline,sportsline,player_prop,1,1,0,0,1.0,1.09,1.092,120.0,very_low
NBA,betql|sportsline,sportsline,total,1,0,1,0,0.0,-1.07,-1.07,-114.0,very_low
NBA,bettingpros_props,bettingpros_props,player_prop,866,420,444,2,0.485,-64.03,-0.0739,-82.6,high
NBA,bettingpros_props|covers,bettingpros_props,player_prop,20,16,4,0,0.8,10.58,0.529,-58.7,low
NBA,bettingpros_props|covers,bettingpros_props|covers,player_prop,20,16,4,0,0.8,10.58,0.529,-58.7,low
NBA,bettingpros_props|covers,covers,player_prop,20,16,4,0,0.8,10.58,0.529,-58.7,low
NBA,bettingpros_props|dimers,bettingpros_props,player_prop,1,0,1,0,0.0,-0.96,-0.96,108.0,very_low
NBA,bettingpros_props|dimers,bettingpros_props|dimers,player_prop,1,0,1,0,0.0,-0.96,-0.96,108.0,very_low
NBA,bettingpros_props|dimers,dimers,player_prop,1,0,1,0,0.0,-0.96,-0.96,108.0,very_low
NBA,bettingpros_props|oddstrader,bettingpros_props,player_prop,30,3,27,0,0.1,-25.66,-0.8552,-79.2,low
NBA,bettingpros_props|oddstrader,bettingpros_props|oddstrader,player_prop,30,3,27,0,0.1,-25.66,-0.8552,-79.2,low
NBA,bettingpros_props|oddstrader,oddstrader,player_prop,30,3,27,0,0.1,-25.66,-0.8552,-79.2,low
NBA,bettingpros_props|sportsline,bettingpros_props,player_prop,18,18,0,0,1.0,17.22,0.9564,-53.9,very_low
NBA,bettingpros_props|sportsline,bettingpros_props|sportsline,player_prop,18,18,0,0,1.0,17.22,0.9564,-53.9,very_low
NBA,bettingpros_props|sportsline,sportsline,player_prop,18,18,0,0,1.0,17.22,0.9564,-53.9,very_low
