atomic_stat,avg_odds,bets_with_units,expert_name,losses,market_type,n,net_units,odds_count,odds_sum,pushes,roi,source_id,total_stake,units_missing_count,wilson_lower,win_pct,wins
pts_ast,-120.0,7,Bryan Fonseca,5,player_prop,19,-4.0920000000000005,1,-120.0,0,-0.5771509167842032,action,7.09,12,0.5121,0.7368421052631579,14
assists,2.25,13,Buckets Podcast,10,player_prop,19,-6.968,4,9.0,0,-0.5376543209876543,action,12.959999999999999,6,0.2733,0.47368421052631576,9
points,-113.0,15,Gilles Gallant,11,player_prop,18,-7.303999999999999,5,-565.0,0,-0.47769784172661867,action,15.29,3,0.203,0.3888888888888889,7
pts_reb_ast,-117.6875,18,nukethebooks,11,player_prop,18,-5.29,16,-1883.0,0,-0.27423535510627267,juicereel_nukethebooks,19.290000000000003,0,0.203,0.3888888888888889,7
pts_reb,,9,Alex Hinton,9,player_prop,17,-9.0,0,0.0,0,-1.0,action,9.0,8,0.2616,0.47058823529411764,8
points,-125.66666666666667,14,Matt Moore,13,player_prop,17,-12.342,3,-377.0,0,-0.8606694560669457,action,14.34,3,0.0955,0.23529411764705882,4
,-107.0,13,Matt Moore,11,total,18,-9.324,10,-1070.0,1,-0.6999999999999998,action,13.320000000000002,5,0.1731,0.35294117647058826,6
assists,-15.0,4,Boomer Betz,3,player_prop,16,-2.116,2,-30.0,0,-0.5148418491484186,action,4.109999999999999,12,0.5699,0.8125,13
pts_reb,,8,Boomer Betz,8,player_prop,16,-8.0,0,0.0,0,-1.0,action,8.0,8,0.28,0.5,8
,-87.2,11,Brian Bitler,7,spread,16,-2.327000000000001,10,-872.0,0,-0.2050220264317181,action,11.350000000000001,5,0.3318,0.5625,9
rebounds,-31.8,8,Buckets Podcast,5,player_prop,16,-2.258,5,-159.0,0,-0.27336561743341403,action,8.26,8,0.444,0.6875,11
assists,123.0,8,Kyle Murray,7,player_prop,16,-4.893,1,123.0,0,-0.6193670886075949,action,7.9,8,0.3318,0.5625,9
reb_ast,-6.0,12,Kyle Murray,10,player_prop,16,-8.055000000000001,2,-12.0,0,-0.6684647302904565,action,12.05,4,0.1848,0.375,6
pts_reb,-125.0,8,Matt Moore,8,player_prop,16,-8.11,1,-125.0,0,-1.0,action,8.11,8,0.28,0.5,8
points,-70.2,13,Douglas Farmer,7,player_prop,15,-1.4749999999999996,10,-702.0,0,-0.10942136498516318,covers,13.48,2,0.3012,0.5333333333333333,8
pts_ast,,9,Player Prop Savant,9,player_prop,15,-9.0,0,0.0,0,-1.0,action,9.0,6,0.1982,0.4,6
pts_reb_ast,,6,Player Prop Savant,6,player_prop,15,-6.0,0,0.0,0,-1.0,action,6.0,9,0.3575,0.6,9
pts_ast,31.666666666666668,8,Top Shelf Action 🥃,8,player_prop,15,-8.02,3,95.0,0,-1.0,action,8.02,7,0.2481,0.4666666666666667,7
rebounds,,4,Babs .,4,player_prop,14,-4.0,0,0.0,0,-1.0,action,4.0,10,0.4535,0.7142857142857143,10
,-110.0,11,Buckets Podcast,6,spread,14,-2.239,5,-550.0,0,-0.1991992882562277,action,11.240000000000002,3,0.3259,0.5714285714285714,8
assists,-115.0,6,Cam Is Money,6,player_prop,14,-6.07,1,-115.0,0,-1.0,action,6.07,8,0.3259,0.5714285714285714,8
pts_reb,,12,Doug Ziefel,12,player_prop,14,-12.0,0,0.0,0,-1.0,action,12.0,2,0.0401,0.14285714285714285,2
rebounds,-116.0,4,Doug Ziefel,3,player_prop,14,-2.078,1,-116.0,0,-0.5105651105651104,action,4.07,10,0.5241,0.7857142857142857,11
pts_reb,,6,Grant Neiffer,6,player_prop,14,-6.0,0,0.0,0,-1.0,action,6.0,8,0.3259,0.5714285714285714,8
pts_reb,,8,Lines at Lunch,8,player_prop,14,-8.0,0,0.0,0,-1.0,action,8.0,6,0.2138,0.42857142857142855,6
,-108.0,13,Scott Rickenbach,6,spread,14,0.5649999999999995,11,-1188.0,0,0.042132736763609215,action,13.409999999999998,1,0.3259,0.5714285714285714,8
points,-113.33333333333333,13,Zak Hanshew,8,player_prop,14,-3.729000000000001,12,-1360.0,0,-0.27120000000000005,covers,13.750000000000002,1,0.2138,0.42857142857142855,6
reb_ast,-17.5,9,Bryan Fonseca,9,player_prop,13,-9.15,2,-35.0,0,-1.0,action,9.15,4,0.1268,0.3076923076923077,4
points,-100.16666666666667,13,Prop Bet Guy,7,player_prop,13,-3.9050000000000002,12,-1202.0,0,-0.28073328540618264,sportsline,13.91,0,0.2321,0.46153846153846156,6
assists,-5.0,9,Prop Bomb 🏝,9,player_prop,13,-9.05,2,-10.0,0,-1.0,action,9.05,4,0.1268,0.3076923076923077,4
assists,,9,RocketPlays,9,player_prop,13,-9.0,0,0.0,0,-1.0,action,9.0,4,0.1268,0.3076923076923077,4
reb_ast,,7,Ryan Minion,7,player_prop,13,-7.0,0,0.0,0,-1.0,action,7.0,6,0.2321,0.46153846153846156,6
steals,,9,Ryan Minion,9,player_prop,13,-9.0,0,0.0,0,-1.0,action,9.0,4,0.1268,0.3076923076923077,4
points,-93.25,12,Tom Oldfield,5,player_prop,13,1.4389999999999996,12,-1119.0,0,0.11457006369426748,covers,12.56,1,0.3552,0.6153846153846154,8
,-113.0909090909091,12,Wags Wins,9,spread,13,-6.674000000000001,11,-1244.0,0,-0.5263406940063092,action,12.680000000000001,1,0.1268,0.3076923076923077,4
assists,55.5,7,Alex Hinton,5,player_prop,12,-2.896,4,222.0,0,-0.41910274963820554,action,6.909999999999999,5,0.3195,0.5833333333333334,7
pts_reb_ast,,7,Boomer Betz,7,player_prop,12,-7.0,0,0.0,0,-1.0,action,7.0,5,0.1933,0.4166666666666667,5
pts_reb_ast,,4,Doug Ziefel,4,player_prop,12,-4.0,0,0.0,0,-1.0,action,4.0,8,0.3906,0.6666666666666666,8
reb_ast,,4,Jim Turvey,4,player_prop,12,-4.0,0,0.0,0,-1.0,action,4.0,8,0.3906,0.6666666666666666,8
pts_reb_ast,,8,Lines at Lunch,8,player_prop,12,-8.0,0,0.0,0,-1.0,action,8.0,4,0.1381,0.3333333333333333,4
pts_reb,-75.66666666666667,8,sXeBets,4,player_prop,12,-0.25,6,-454.0,0,-0.03026634382566586,juicereel_sxebets,8.26,4,0.3906,0.6666666666666666,8
pts_ast,,6,Allan Lem,6,player_prop,11,-6.0,0,0.0,0,-1.0,action,6.0,5,0.2127,0.45454545454545453,5
pts_reb,-110.0,5,Brandon Kravitz,5,player_prop,11,-5.05,1,-110.0,0,-1.0,action,5.05,6,0.2801,0.5454545454545454,6
points,,5,Doug Ziefel,5,player_prop,11,-5.0,0,0.0,0,-1.0,action,5.0,6,0.2801,0.5454545454545454,6
rebounds,-24.5,11,Jason Logan Senior,7,player_prop,11,-3.215,10,-245.0,0,-0.2867975022301516,covers,11.21,0,0.1517,0.36363636363636365,4
steals,-129.0909090909091,11,OddsTrader AI,5,player_prop,11,-0.8570000000000003,11,-1420.0,0,-0.06669260700389107,oddstrader,12.850000000000001,0,0.2801,0.5454545454545454,6
points,-80.14285714285714,10,Quinn Allen,7,player_prop,11,-4.292000000000001,7,-561.0,0,-0.41750972762645916,covers,10.280000000000001,1,0.1517,0.36363636363636365,4
reb_ast,-136.0,5,Joe Dellera,4,player_prop,10,-3.154,1,-136.0,0,-0.6124271844660194,action,5.15,5,0.3127,0.6,6
points,,7,Lines at Lunch,7,player_prop,10,-7.0,0,0.0,0,-1.0,action,7.0,3,0.1078,0.3,3
reb_ast,-122.5,7,Matt DiLeo,7,player_prop,10,-7.2,2,-245.0,0,-1.0,action,7.2,3,0.1078,0.3,3
pts_reb_ast,,5,Matt Moore,5,player_prop,10,-5.0,0,0.0,0,-1.0,action,5.0,5,0.2366,0.5,5
